,tweets
0,_rt The teacher is like sunshine in our life .All respect to all Teachers .
1,Castrol Activ Champions Sachin Tendulkar Click here to view more https://t.co/XbTzMYzVfu
2,Most consecutive ODI series with at least one century (series/tournaments/one-off matches): 9 R Sharma(17-18) 6 https://t.co/Y2YyEx32Zu
3,Here is the official confirmation tweet by Dassault Aviation regarding the ‘Workshare Agreement with HAL So R https://t.co/ofbErSTZDE
4,RT Laughs in Sachin Tendulkar https://t.co/OFT3AS0jeP
5,Thisara Perera just played the best ODI innings in a losing causing I have ever watched just eclipsing Sachin Tend https://t.co/Hl7n7ljsZb
6,RT An emotional _rt bids tearful adieu to his 'Guru !! https://t.co/RSXd1cJNx5 https://t.co/NkNHAyYSC1
7,RT Laughs in Sachin Tendulkar https://t.co/OFT3AS0jeP
8,RT _khan My heartfelt condolences to the family of Mr Ramakant Achrekar to Sachin and to all those close to him We will always r…
9,RT _foundation #RF ‘s training advisories &amp expert guidance helped Sachin Futane from Maharashtra opt for pre-monsoon sowing of cott…
10,RT When four-year-old leopard Sachin escaped from his enclosure in Bengal Safari Park in India wildlife authorities deployed drones…
11,Team with reference Service Request no SR00000I03QY regarding Jio Network this complaint was rais https://t.co/XpmlbxTBw5
12,Looks like Sachin Tendulkar sir named the baby 😅 https://t.co/oDUV1jfMhx
13,RT _Rohitfc Most consecutive ODI series with at least one century (series/tournaments/one-off matches): 9 R Sharma(17-18) 6 V Kohl…
14,Most consecutive ODI series with at least one century (series/tournaments/one-off matches): 9 R Sharma(17-18) 6 https://t.co/wQq7VL4F8t
15,Day 1 of #UD3 10/10 Only thing that can improve it for tomorrow is _Sahel hugs I LOVE ALL OF YOU SO MU https://t.co/GaSmICZnkB
16,biggest strength is defence And that defence failed both times against this season https://t.co/t8azwE1002
17,_rt Cheteshwar Pujara is the best player of test match in world I think soo
18,_rt Super
19,RT An innings of great character and determination Commentator Played a 241 innings without attempting his favorite cover dri…
20,RT A superb tribute by _Coop for the man who crafted #God for us RIP Sir #RamakantAchrekar 🙏🏻 _rt https://t.co…
21,Dear Sachin please your impression is mature politician don't behave as your mumy baby party president behave .
22,RT Latest seems to be a Sri Lankan woman Why is it only Maoists Sri Lankans etc who are launched to enter Sabarimala Why…
23,RT Highest individual scores for India in Australia in Tests: 241 Sachin Tendulkar SCG 2004 233 Rahul Dravid Adela…
24,RT Our take on Sachin's guru a tribute https://t.co/fcGF5o1RZZ
25,RT No matter how hard she tries Sonia Gandhi gets exposed time &amp again. She stopped her own MPs frm protesting the Desecrati…
26,RT Youngest Test Centurion In Australia #OnThisDay in 1992 _rt became the Youngest Player to score a Test Hundred…
27,RT A superb tribute by _Coop for the man who crafted #God for us RIP Sir #RamakantAchrekar 🙏🏻 _rt https://t.co…
28,Dear Sachin Kanu We would like to address your query Please DM us your contact details and we will connect with you shortly.
29,RT Platform-Surfing Railways is using platform hoverboards to quickly deliver important documents to the driver ensuring sa…
30,RT _beat January 4 In 1997 Sachin Scored 169 vs SA at Capetown In 2004 Sachin Scored 241 vs Aus at Sydney In 2008 Sachin Scored 1…
31,He didn’t even spared Sachin I just keep my television on mute whenever he comes to commentate P https://t.co/jdOKOptRLF
32,RT Today in 1992 _rt scored 148 at the SCG https://t.co/BpLIv1OpIF
33,RT An innings of great character and determination Commentator Played a 241 innings without attempting his favorite cover dri…
34,RT An innings of great character and determination Commentator Played a 241 innings without attempting his favorite cover dri…
35,RT _jaiveeer 10-15 years later Gill Shaw or any other new batting sensation’s fans will call Kohli a fraud just like many Kohli fan…
36,RT Retweet this and everything will magically get better.
37,RT A blessed gift of hope and love💖 PC Sachin https://t.co/TV09fUJfYQ
38,Had an awesome learning during this session at WeWork #alexadevs #voicedevs https://t.co/TN274G7u6v
39,RT Youngest Test Centurion In Australia #OnThisDay in 1992 _rt became the Youngest Player to score a Test Hundred…
40,RT An innings of great character and determination Commentator Played a 241 innings without attempting his favorite cover dri…
41,RT _travel Jan 5 #Bhasma #Aarti pic of Shree #Mahakaleshwar #Ujjain #shiv #shiva #bholenath #mahadev #jyotirling #jaibholenath #…
42,RT _jaiveeer 10-15 years later Gill Shaw or any other new batting sensation’s fans will call Kohli a fraud just like many Kohli fan…
43,RT _inc Eagerly awaiting your presence sir On behalf of Shriram Shikshan Sanstha (Shriram Parivar I would like to we…
44,Miss you _rt 😢😢Sachin tendulkar's last match at Wankhede stadium Mumbai https://t.co/L91EbxcS1C via
45,RT An innings of great character and determination Commentator Played a 241 innings without attempting his favorite cover dri…
46,RT Laughs in Sachin Tendulkar https://t.co/OFT3AS0jeP
47,India had the same sort of Series in 2011-12 in Australia with the likes of sachin Dra https://t.co/DFYJBHtDMM
48,RT This is called Lyinching and Terrorizing ! Sadly 'Terrorist supporters are busy fighting for their brothers in crime &amp th…
49,RT _hindu ‘Open defecation levels are still above 40 in ODF States Swachh Bharat has not brought behavioural change https://t.co/27…
50,RT _khan My heartfelt condolences to the family of Mr Ramakant Achrekar to Sachin and to all those close to him We will always r…
51,How Many if you are #pumped for the 1st episode of #ClubMirchi #RadioMirchi in 2019? Listen Track #34 Jee Karda https://t.co/AwhvbzQ91S
52,RT Gino Banks performing for the second edition of Udupa Music Festival Feb 2018. #UdupaFoundation #UF #Ud…
53,_rt RIP sir and thanks for giving us a world class player
54,_jaiveeer Nobody call Sachin anything like that
55,RT Laughs in Sachin Tendulkar https://t.co/OFT3AS0jeP
56,RT 'He built the foundation that I stand on' Sachin Tendulkar pays a heartwarming tribute to coach Ramakant Achrekar #RamakantA…
57,RT Sheldon D'Silva performing for the second edition of Udupa Music Festival Feb 2018 #UdupaFoundation #U…
58,RT Condolences to his family and loved ones on the passing away of #RamakantAchrekar sir who shaped and gave us a gift call…
59,Laughs in Sachin Tendulkar https://t.co/OFT3AS0jeP
60,RT A tourist burst into tears having saved by #IndianArmy when over 3000 tourists were stranded at Nathula due to heavy snow…
61,RT _beat January 4 In 1997 Sachin Scored 169 vs SA at Capetown In 2004 Sachin Scored 241 vs Aus at Sydney In 2008 Sachin Scored 1…
62,_addict_1 _rt https://t.co/KBPe0gQETX
63,"RT An example of ""pliable journalism https://t.co/xPJnHOzpLz"
64,RT An innings of great character and determination Commentator Played a 241 innings without attempting his favorite cover dri…
65,RT Youngest to score a Test Hundred in Australia Sachin Tendulkar😎 RECORD STILL UNBEATABLE🔥 #OnThisDay in 1992 Sachin…
66,RT More Movies To Watch Out For In 2019 Is your favourite film in there Check it out! https://t.co/cimXQrBx2R
67,RT _Bokrait This day Another year Sachin Tendulkar https://t.co/G4tupjZcCR
68,"Dear Sachin Kanu ""Thank you for expressing interest in our range of products You can apply for an SB https://t.co/kersdM55P7"
69,RT The common teacher becomes great person if any of his student becomes HERO _rt my tribute to the ordinary teache…
70,RT _Coop #Amul Topical Tribute to the man who shaped many a batsmen's career including Sachin https://t.co/FESgNqIJNO
71,RT Thavvakallo bayatapadina sachin photo frame from my house from 1999.. #Memories https://t.co/Kuh3znx4GP
72,Dear Sachin Kanu all SBI Credit Cards concerns/queries need to be directed to SBICard_Connect For mo https://t.co/FvkkXp7S1m
73,Hi Sachin This shouldn't be happening I apologize for the inconvenience caused to you Please DM me you https://t.co/4jNSIwLArf
74,_Railway why near Kurla station Mumbai local tickets agents take 2 rs commission for single tickets and 4 r https://t.co/4NBucnGC5D
75,Engagement photography Lucknow. Sachin Srivastava is the Best Cand..For more info visit...https://t.co/4FahHZQd7v https://t.co/0y0a8zib5k
76,RT _Coop #Amul Topical Tribute to the man who shaped many a batsmen's career including Sachin https://t.co/FESgNqIJNO
77,RT _jaiveeer 10-15 years later Gill Shaw or any other new batting sensation’s fans will call Kohli a fraud just like many Kohli fan…
78,RT Here's wishing beautiful Diva a very Happy Birthday! #HappyBirthdayDeepikaPadukone https://t.co/5T9E…
79,RT A superb tribute by _Coop for the man who crafted #God for us RIP Sir #RamakantAchrekar 🙏🏻 _rt https://t.co…
80,RT In our first #CastrolActivChampions episode of 2019 the voice of cricket takes us through the Test journey of…
81,RT An innings of great character and determination Commentator Played a 241 innings without attempting his favorite cover dri…
82,RT Sachin gave her the name https://t.co/um2PyzbGAG
83,The great Congress party Sachin pilot ji ashok gehlot ji https://t.co/BdyI3EgrvJ
84,RT Sachin gave her the name https://t.co/um2PyzbGAG
85,RT _jaiveeer 10-15 years later Gill Shaw or any other new batting sensation’s fans will call Kohli a fraud just like many Kohli fan…
86,RT Video 1 Sachin Tendulkar's Cover Drive Video 2 Arjun Tendulkar's Cover Drive https://t.co/22QACj2wep
87,RT Sachin gave her the name https://t.co/um2PyzbGAG
88,RT An innings of great character and determination Commentator Played a 241 innings without attempting his favorite cover dri…
89,2 Year https://t.co/gdmOyr6q3s
90,ubme sex Fuck me plz misor sex video ission military stright sex sex assault lawyer teen latina girl porn g https://t.co/ajr9GLspy1
91,_jaiveeer Who calls Sachin a fraud 🤔
92,Thank you for a special on _rt the #testbatsman on #CastrolActivChampions It's always a plea https://t.co/kFITshriBh
93,RT Ram Temple construction can begin any day since there is no legal bar for the Govt to hand over the land to the Hindus to buil…
94,RT Former India Cricketer on Sachin Tendulkar's political career. Tune in to #FranklySpeakingWithGambhir tonigh…
95,How quickly time changes Aussies in 1999-2000 https://t.co/nZBGrwRN41
96,When _rt refused to play Cover drive #AUSvIND #Legend https://t.co/QdhTg1pMNq
97,How the hell you Aussies can accuse Sachin of ball tampering?That was a false charge made by you.
98,RT _jaiveeer 10-15 years later Gill Shaw or any other new batting sensation’s fans will call Kohli a fraud just like many Kohli fan…
99,"RT ""Technically no one is better than Sachin Tendulkar not even Sir Don Bradman. https://t.co/uETEjV02E7"
